,Actual,Prediction
Jevon Carter\carteje01,3549383.0,2096814.040000001
Matthew Dellavedova\dellama01,2174318.0,2935388.870000002
Anfernee Simons\simonan01,2252040.0,2086671.6950000003
Ben Simmons\simmobe01,29250000.0,21335665.564999998
Ignas Brazdeikis\brazdig01,1517981.0,1914378.2300000004
Wesley Iwundu\iwundwe01,1678854.0,3147563.0199999996
Frank Ntilikina\ntilila01,6176578.0,3321042.1050000014
Nickeil Alexander-Walker\alexani01,3113160.0,1946769.3499999996
Bryn Forbes\forbebr01,2337145.0,8848972.435
Ed Davis\davised01,5005350.0,6023510.165
Mo Bamba\bambamo01,5969040.0,3144095.960000002
J.R. Smith\smithjr01,1456667.0,3545751.4400000023
Jalen McDaniels\mcdanja01,1517981.0,2169950.4800000004
Hassan Whiteside\whiteha01,2320044.0,15134360.765
Nemanja Bjelica\bjeline01,7150000.0,9895341.925
John Konchar\konchjo01,2093023.0,1974066.839999999
Clint Capela\capelca01,16000000.0,18022172.069999993
Luka Dončić\doncilu01,8049360.0,12793908.580000002
Tony Bradley\bradlto01,3542060.0,2907325.0150000025
LaMarcus Aldridge\aldrila01,24000000.0,26586484.524999995
Bruno Caboclo\cabocbr01,2028594.0,2940947.320000003
Fred VanVleet\vanvlfr01,21250000.0,10358930.225
Kevin Huerter\huertke01,2761920.0,6178999.26
Kelly Oubre Jr.\oubreke01,14375000.0,12157115.11
Aaron Gordon\gordoaa01,18136364.0,21414399.864999995
Moritz Wagner\wagnemo01,2161920.0,2674222.245000003
Ty Jerome\jeromty01,2303040.0,1925285.3900000006
Derrick Rose\rosede01,7682927.0,12260535.97
Jahlil Okafor\okafoja01,1882867.0,4885967.200000001
Rodions Kurucs\kurucro01,1780152.0,3235260.880000001
Jarred Vanderbilt\vandeja01,1663861.0,1934048.5249999994
Torrey Craig\craigto01,1678854.0,3915816.8400000017
Josh Richardson\richajo01,10800000.0,16354694.505000003
Isaac Bonga\bongais01,1663861.0,2809119.3950000033
Jon Leuer\leuerjo01,3169348.0,3178222.1300000027
Tobias Harris\harrito02,33517241.0,24934586.784999996
Gerald Green\greenge01,2564753.0,3471095.745000002
Mike Muscala\muscami01,2283033.999999999,4974809.505000001
Will Barton\bartowi01,13920000.0,16320936.804999998
Talen Horton-Tucker\hortota01,1517981.0,2032312.0300000012
Grayson Allen\allengr01,2545320.0,2164290.5
Kendrick Nunn\nunnke01,1663861.0,4854293.895
Gary Harris\harriga01,19160714.0,13494173.970000003
Mitchell Robinson\robinmi01,1663861.0,5267567.695000002
Juan Toscano-Anderson\toscaju01,1517981.0,2229372.71
Carsen Edwards\edwarca01,1517981.0,1914378.2300000004
Alfonzo McKinnie\mckinal01,1762796.0,3140250.9250000017
Nerlens Noel\noelne01,5000000.0,5359439.375
Vlatko Čančar\cancavl01,898310.0,1914378.2300000004
Cody Martin\martico01,1517981.0,2107432.9800000004
Tyler Zeller\zellety01,2436046.0,4181328.695000002
Wesley Matthews\matthwe02,3623000.0,6170564.584999999
Josh Okogie\okogijo01,2651040.0,3887170.964999999
Markieff Morris\morrima02,2331593.0,6157139.3500000015
Thaddeus Young\youngth01,13545000.0,11800638.040000001
Jerian Grant\grantje02,1882867.0,3338157.3950000023
Trey Lyles\lylestr01,5500000.0,5374163.395000001
Pat Connaughton\connapa01,4938272.0,4617028.500000002
Caris LeVert\leverca01,16203704.0,12840220.73
Mfiondu Kabengele\kabenmf01,2075880.0,1914378.2300000004
P.J. Tucker\tuckepj01,7969537.0,11418599.004999999
Isaiah Hartenstein\harteis01,1445697.0,2250339.990000001
Justin Anderson\anderju01,1882867.0,2407657.8500000024
Khyri Thomas\thomakh01,744684.0,1914378.2300000004
Chris Clemons\clemoch01,1517981.0,1914378.2300000004
Joe Harris\harrijo01,16071429.0,13196200.555
Omari Spellman\spellom01,1988280.0,2905589.8800000036
Jordan Clarkson\clarkjo01,11500000.0,11337780.02
RJ Barrett\barrerj01,8231760.0,5264452.039999999
Cedi Osman\osmande01,8750000.0,10339212.46
CJ McCollum\mccolcj01,29354152.0,29303285.214999985
Norman Powell\powelno01,10865952.0,8658650.835
Garrett Temple\templga01,4767000.0,6181988.959999999
Dean Wade\wadede01,1517981.0,1914378.2300000004
JaVale McGee\mcgeeja01,4200000.0,6602539.115
Steven Adams\adamsst01,27528090.000000004,18356165.354999997
Harrison Barnes\barneha02,22215909.0,24033833.854999997
Dwayne Bacon\bacondw01,1678854.0,2512552.6800000025
Jerome Robinson\robinje01,3737520.0,1986034.9700000007
Trevor Ariza\arizatr01,12800000.0,13435268.020000001
Gary Trent Jr.\trentga02,1663861.0,2070852.2350000003
Bruce Brown\brownbr01,1663861.0,4069202.4849999994
Kemba Walker\walkeke02,34379100.0,32505660.999999985
Kevon Looney\looneke01,4821429.0,4944620.025000001
Larry Sanders\sandela01,1865547.0,1914378.2300000004
Glenn Robinson III\robingl02,2028594.0,7225671.205
Reggie Bullock\bullore01,4200000.0,3950247.2
Brandon Goodwin\goodwbr01,1701593.0,1956759.7600000007
Derrick Favors\favorde01,9258000.0,7911922.915
Al-Farouq Aminu\aminual01,9720900.0,5688815.7700000005
Danny Green\greenda02,15365854.0,6139429.01
Marcus Morris\morrima03,14883721.0,13095842.405000001
JaKarr Sampson\sampsja02,1882867.0,10790631.36
Kyle Lowry\lowryky01,30000000.0,25989380.929999996
Alec Burks\burksal01,6000000.0,9085244.44
Seth Curry\curryse01,7813953.0,6793615.139999999
Daniel Gafford\gaffoda01,1517981.0,2054446.2000000002
Justin Holiday\holidju01,5720400.0,9090853.215
Tim Hardaway Jr.\hardati02,18975000.0,18799505.955
Gordon Hayward\haywago01,28500000.0,10065943.735
Jaylen Brown\brownja02,22991071.0,12977142.39
J.J. Redick\redicjj01,13013700.0,19331795.105000004
Derrick White\whitede01,3516284.000000001,6427249.74
Dennis Schröder\schrode01,15500000.0,15941651.084999997
Rui Hachimura\hachiru01,4692840.0,5517025.224999999
Bismack Biyombo\biyombi01,2331593.0,5541919.65
Michael Porter Jr.\portemi01,3550800.0,2417562.2150000036
Marc Gasol\gasolma01,2564753.0,17449690.979999997
James Harden\hardeja01,40824000.0,34517580.584999986
Stephen Curry\curryst01,43006362.0,33350338.68999999
Danilo Gallinari\gallida01,19500000.0,20748788.21
Caleb Martin\martica02,1517981.0,2006925.8899999997
Kyle Singler\singlky01,999200.0000000009,2049224.540000002
David Nwaba\nwabada01,1862250.0,4357981.205000003
Jayson Tatum\tatumja01,9897120.0,14069881.630000005
Justin Jackson\jacksju01,5029650.0,3259552.3600000003
Abdel Nader\naderab01,1752950.0,2196253.500000001
Hamidou Diallo\diallha01,1663861.0,2361085.955000002
Kentavious Caldwell-Pope\caldwke01,12073020.0,6563748.885
Damian Lillard\lillada01,31626953.0,33554331.339999974
Lonzo Ball\balllo01,11003782.0,9676738.2
Sekou Doumbouya\doumbse01,3449400.0,2121745.8900000015
Bol Bol\bolbo01,2058240.0,2058142.250000001
Anthony Davis\davisan02,32742000.0,28709913.999999993
Naz Reid\reidna01,1517981.0,2325358.825000003
Willy Hernangómez\hernawi01,1727145.0,3761552.210000001
Dakari Johnson\johnsda04,459414.0,2318543.1100000003
George Hill\hillge01,9590602.0,6170141.800000001
Zylan Cheatham\cheatzy01,1445697.0,1956759.7600000007
